team,odds,overUnder
WAS,-5.000,186.500
PHI,5.000,186.500
CHI,-7.500,190.500
ORL,7.500,190.500
TOR,-3.500,199.000
CHA,3.500,199.000
IND,-11.500,191.000
NY,11.500,191.000
ATL,4.500,204.500
BKN,-4.500,204.500
BOS,-1.500,202.000
DET,1.500,202.000
CLE,-6.500,198.500
MIL,6.500,198.500
NO,5.000,184.000
MEM,-5.000,184.000
HOU,6.500,204.500
SA,-6.500,204.500
SAC,12.000,190.000
UTA,-12.000,190.000
LAL,10.000,205.500
DEN,-10.000,205.500
PHO,8.500,205.500
DAL,-8.500,205.500
MIN,16.500,207.000
POR,-16.500,207.000
